decision_id,titulo,proponente,voto_conselho,status,adr_relacionado,documento_origem,data,task_id
DEC-1,Congelar V5.5 como evidencia forense,Tech Lead,APROVADO,RATIFICADO,ADR-001,PROP-SOV-V6-20260621,2026-06-21,TASK-0003
DEC-2,Criar OMEGA-KERNEL-SOVEREIGN V6,Tech Lead,APROVADO,RATIFICADO,ADR-007,PROP-SOV-V6-20260621,2026-06-21,TASK-0001
DEC-3,Allow-list de migracao MIG-1..6,CFO,APROVADO,RATIFICADO,ADR-012,CFO-RAT-20260623-03,2026-06-24,-
DEC-4,Taskade como autoridade documental,Tech Lead,APROVADO,SUPERSEDIDO,-,PROP-SOV-V6-20260621,2026-06-21,-
DEC-5,Proibir desenvolvimento no diretorio atual,Tech Lead,APROVADO,RATIFICADO,-,PROP-SOV-V6-20260621,2026-06-21,-
DEC-6,Adicionar GATE-0 (soberania),CFO,APROVADO_OBRIGATORIO,RATIFICADO,ADR-008;ADR-009;ADR-010;ADR-011,Emenda CFO-03,2026-06-21,-
DEC-7,Adicionar FASE 1.5 (extracao de conhecimento),CFO,APROVADO_OBRIGATORIO,RATIFICADO,-,Emenda CFO-01,2026-06-21,-
DEC-8,Protecao Git (PR/CI/Task ID),CFO,APROVADO_OBRIGATORIO,RATIFICADO,-,Emenda CFO-04,2026-06-21,-
DEC-9,Contratos antes do codigo,CFO,APROVADO_OBRIGATORIO,RATIFICADO,-,Emenda CFO-02,2026-06-21,-
DEC-GATE0-1,Runtime Soberano,Conselho,APROVADO,RATIFICADO,ADR-008,Ata GATE-0,2026-06-22,TASK-0011
DEC-GATE0-2,Launcher Soberano (deployment/omega_run.py),Conselho,APROVADO,RATIFICADO,ADR-009,Ata GATE-0,2026-06-22,TASK-0012
DEC-GATE0-3,Fluxo Soberano,Conselho,APROVADO,RATIFICADO,ADR-010,Ata GATE-0,2026-06-22,TASK-0013
DEC-GATE0-4,Ambiente Soberano,Conselho,APROVADO,RATIFICADO,ADR-011,Ata GATE-0,2026-06-22,TASK-0014
DEC-15,PSA como autoridade documental + Plano Mestre V6,CFO,APROVADO,RATIFICADO,ADR-012,CFO-RATIFICATION-001,2026-06-24,TASK-0018
DEC-16,Fechamento GATE-0 Governanca + autorizacao MIG-1 Charter,CFO,APROVADO,RATIFICADO,ADR-012,CFO-RAT-20260624-002,2026-06-24,TASK-0021
DEC-MIG2-001,Autorizacao implementacao MIG-2 Market Data Engine,Conselho,APROVADO,RATIFICADO,ADR-010,TASK-0022-MIG2-CHARTER,2026-06-25,TASK-0022
DEC-GATE-MIG2-001,Fechamento GATE-MIG2 + MIG-2 validado,Conselho,APROVADO,RATIFICADO,ADR-010;ADR-012,DEC-GATE-MIG2-001,2026-06-25,TASK-0022
DEC-MIG3-001,Autorizacao implementacao MIG-3 Position Manager,Conselho,APROVADO,RATIFICADO,ADR-012,DEC-MIG3-001,2026-06-27,TASK-0023
DEC-GATE-MIG3-001,Fechamento GATE-MIG3 + MIG-3 validado,Conselho,APROVADO,RATIFICADO,ADR-012,DEC-GATE-MIG3-001,2026-06-27,TASK-0023
